Oneview Node,Type,street,Upgrade Date
nlarn07sp4rm002,"control-plane,master",arn-a,2025-02-20
nlarn07sp4rm011,"worker,worker-openet",arn-a,2025-02-20
nlarn07sp4rm009,"worker,worker-openet",arn-a,2025-02-20
nlarn07sp4rm025,"worker,worker-openet",arn-a,2025-02-20
nlarn07sp4rm007,"worker,worker-openet",arn-a,2025-02-20
nlarn07sp4rm026,"worker,worker-openet",arn-a,2025-02-20
nlarn07sp4rm003,"control-plane,master",arn-a,2025-02-21
nlarn07sp4rm005,"worker,worker-openet",arn-a,2025-02-21
nlarn07sp4rm028,"worker,worker-openet",arn-a,2025-02-21
nlarn07sp4rm006,"worker,worker-openet",arn-a,2025-02-21
nlarn07sp4rm010,"worker,worker-openet",arn-a,2025-02-21
nlarn07sp4rm029,"worker,worker-openet",arn-a,2025-02-21
nlarn07sp4rm004,"control-plane,master",arn-a,2025-02-24
nlarn07sp4rm008,"worker,worker-openet",arn-a,2025-02-24
nlarn07sp4rm027,"worker,worker-openet",arn-a,2025-02-24
nlarn07sp4rm012,"control-plane,master",arn-b,2025-02-25
nlarn07sp4rm022,"worker,worker-ericsson-standard",arn-b,2025-02-25
nlarn07sp4rm035,"worker,worker-ericsson-standard",arn-b,2025-02-25
nlarn07sp4rm021,"worker,worker-ericsson-standard",arn-b,2025-02-25
nlarn07sp4rm030,"worker,worker-ericsson-standard",arn-b,2025-02-25
nlarn07sp4rm018,"worker,worker-ericsson-standard",arn-b,2025-02-25
nlarn07sp4rm013,"control-plane,master",arn-b,2025-02-26
nlarn07sp4rm032,"worker,worker-ericsson-standard",arn-b,2025-02-26
nlarn07sp4rm023,"worker,worker-ericsson-standard",arn-b,2025-02-26
nlarn07sp4rm031,"worker,worker-ericsson-standard",arn-b,2025-02-26
nlarn07sp4rm024,"worker,worker-ericsson-standard",arn-b,2025-02-26
nlarn07sp4rm019,"worker,worker-ericsson-standard",arn-b,2025-02-26
nlarn07sp4rm014,"control-plane,master",arn-b,2025-02-27
nlarn07sp4rm015,"worker,worker-ericsson-standard",arn-b,2025-02-27
nlarn07sp4rm033,"worker,worker-ericsson-standard",arn-b,2025-02-27
nlarn07sp4rm034,"worker,worker-ericsson-standard",arn-b,2025-02-27
nlarn07sp4rm016,"worker,worker-ericsson-standard",arn-b,2025-02-27
nlarn07sp4rm036,"worker,worker-ericsson-standard",arn-b,2025-02-27
nlarn07sp4rm017,"worker,worker-ericsson-standard",arn-b,2025-02-28
nlarn07sp4rm020,"worker,worker-ericsson-standard",arn-b,2025-02-28
nlarn07sp4rm049,"control-plane,master",arn-c,2025-03-03
nlarn07sp4rm091,"worker,worker-nokia-ht",arn-c,2025-03-03
nlarn07sp4rm075,"worker,worker-nokia-ht",arn-c,2025-03-03
nlarn07sp4rm115,"worker,worker-nokia-ht",arn-c,2025-03-03
nlarn07sp4rm093,"worker,worker-nokia-ht",arn-c,2025-03-03
nlarn07sp4rm064,"worker,worker-nokia",arn-c,2025-03-03
nlarn07sp4rm050,"control-plane,master",arn-c,2025-03-04
nlarn07sp4rm101,"worker,worker-nokia-ht",arn-c,2025-03-04
nlarn07sp4rm127,"worker,worker-nokia-ht",arn-c,2025-03-04
nlarn07sp4rm072,"worker,worker-nokia-cmg",arn-c,2025-03-04
nlarn07sp4rm053,"worker,worker-nokia",arn-c,2025-03-04
nlarn07sp4rm085,"worker,worker-nokia-ht",arn-c,2025-03-04
nlarn07sp4rm051,"control-plane,master",arn-c,2025-03-05
nlarn07sp4rm105,"worker,worker-nokia-ht",arn-c,2025-03-05
nlarn07sp4rm066,"worker,worker-nokia",arn-c,2025-03-05
nlarn07sp4rm077,"worker,worker-nokia-ht",arn-c,2025-03-05
nlarn07sp4rm128,"worker,worker-nokia-ht",arn-c,2025-03-05
nlarn07sp4rm114,"worker,worker-nokia-ht",arn-c,2025-03-05
nlarn07sp4rm099,"worker,worker-nokia-ht",arn-c,2025-03-06
nlarn07sp4rm113,"worker,worker-nokia-ht",arn-c,2025-03-06
nlarn07sp4rm068,"worker,worker-nokia-cmg",arn-c,2025-03-06
nlarn07sp4rm057,"worker,worker-nokia",arn-c,2025-03-06
nlarn07sp4rm109,"worker,worker-nokia-ht",arn-c,2025-03-06
nlarn07sp4rm123,"worker,worker-nokia-ht",arn-c,2025-03-06
nlarn07sp4rm076,"worker,worker-nokia-ht",arn-c,2025-03-07
nlarn07sp4rm118,"worker,worker-nokia-ht",arn-c,2025-03-07
nlarn07sp4rm119,"worker,worker-nokia-ht",arn-c,2025-03-07
nlarn07sp4rm116,"worker,worker-nokia-ht",arn-c,2025-03-07
nlarn07sp4rm055,"worker,worker-nokia",arn-c,2025-03-07
nlarn07sp4rm089,"worker,worker-nokia-ht",arn-c,2025-03-07
nlarn07sp4rm110,"worker,worker-nokia-ht",arn-c,2025-03-10
nlarn07sp4rm088,"worker,worker-nokia-ht",arn-c,2025-03-10
nlarn07sp4rm121,"worker,worker-nokia-ht",arn-c,2025-03-10
nlarn07sp4rm112,"worker,worker-nokia-ht",arn-c,2025-03-10
nlarn07sp4rm102,"worker,worker-nokia-ht",arn-c,2025-03-10
nlarn07sp4rm061,"worker,worker-nokia",arn-c,2025-03-10
nlarn07sp4rm096,"worker,worker-nokia-ht",arn-c,2025-03-11
nlarn07sp4rm071,"worker,worker-nokia-cmg",arn-c,2025-03-11
nlarn07sp4rm117,"worker,worker-nokia-ht",arn-c,2025-03-11
